Recording,Label,Band_1_Hz(25.8Hz),Band_2_Hz(35.1Hz),Band_3_Hz(47.9Hz),Band_4_Hz(65.4Hz),Band_5_Hz(89.3Hz),Band_6_Hz(121.8Hz),Band_7_Hz(166.2Hz),Band_8_Hz(226.7Hz),Band_9_Hz(309.4Hz),Band_10_Hz(422.1Hz),Band_11_Hz(575.9Hz),Band_12_Hz(785.8Hz),Band_13_Hz(1072.2Hz),Band_14_Hz(1462.9Hz),Band_15_Hz(1996.0Hz),Band_16_Hz(2723.4Hz),Band_17_Hz(3715.9Hz),Band_18_Hz(5070.0Hz),Band_19_Hz(6917.6Hz),Band_20_Hz(9438.5Hz)
Activa2011_3.ogg,3,1e-10,1e-10,39.23349380493164,42.6131591796875,67.419677734375,11350.12890625,88574.2578125,79107.1171875,202833.09375,47233.4453125,93750.9765625,44987.1875,9981.533203125,5475.3681640625,2044.688720703125,263.8782653808594,65.16754150390625,47.83115005493164,4.042750835418701,9.33761566557223e-06
Activa2011_4.ogg,4,1e-10,1e-10,5723.47705078125,28875.701171875,74911.1875,103292.3125,144634.09375,26425.078125,14932.4345703125,56733.90625,20957.55859375,90798.8125,26808.15234375,16820.62109375,15663.6396484375,6225.376953125,2996.6103515625,1506.761474609375,441.3731994628906,0.00029135323711670935
Activa2011_5.ogg,5,1e-10,1e-10,8395.626953125,39253.18359375,75605.4609375,53398.49609375,95013.015625,16380.591796875,16340.3447265625,15568.08984375,5838.3896484375,6370.94189453125,4612.28125,3545.280517578125,2451.754638671875,507.50982666015625,251.69300842285156,129.5677032470703,42.67591857910156,6.984159739431561e-08
Activa2011_6_1.ogg,6,1e-10,1e-10,5581.64306640625,23576.34375,41670.1015625,26605.078125,25645.91796875,2716.71435546875,10167.8916015625,83215.296875,17911.1328125,9169.4892578125,1584.847412109375,1511.779052734375,835.0308227539062,221.6243896484375,80.83268737792969,44.188228607177734,19.172283172607422,1.2952352790307486e-06
Activa2011_6_2.ogg,6,1e-10,1e-10,5333.6953125,26310.24609375,53342.8359375,52654.03125,77118.78125,15061.2158203125,14090.662109375,153750.984375,28350.36328125,25451.798828125,2488.722412109375,1906.06640625,670.7329711914062,173.96560668945312,88.13700866699219,48.54712677001953,23.800247192382812,8.9269613923193e-09
