Recording,Label,Band_1_Hz(25.8Hz),Band_2_Hz(35.1Hz),Band_3_Hz(47.9Hz),Band_4_Hz(65.4Hz),Band_5_Hz(89.3Hz),Band_6_Hz(121.8Hz),Band_7_Hz(166.2Hz),Band_8_Hz(226.7Hz),Band_9_Hz(309.4Hz),Band_10_Hz(422.1Hz),Band_11_Hz(575.9Hz),Band_12_Hz(785.8Hz),Band_13_Hz(1072.2Hz),Band_14_Hz(1462.9Hz),Band_15_Hz(1996.0Hz),Band_16_Hz(2723.4Hz),Band_17_Hz(3715.9Hz),Band_18_Hz(5070.0Hz),Band_19_Hz(6917.6Hz),Band_20_Hz(9438.5Hz)
Unicorn_1.ogg,1,1e-10,1e-10,463.0928955078125,1338.703369140625,2657.0380859375,8190.37890625,5592.77490234375,5617.8505859375,48235.37109375,12484.611328125,9752.185546875,6512.2412109375,5756.701171875,7855.775390625,2658.2177734375,6509.3037109375,8787.98046875,2945.701171875,1143.19482421875,1.5814195648999885e-05
Unicorn_2.ogg,2,1e-10,1e-10,1234.260498046875,3732.38671875,4576.67236328125,72574.109375,68008.625,48310.7109375,31478.373046875,17609.90625,17551.94921875,45296.66015625,32877.0390625,25682.52734375,13593.763671875,14395.2548828125,25338.173828125,12943.9052734375,1999.8885498046875,2.309863248228794e-06
Unicorn_3.ogg,3,1e-10,1e-10,586.4059448242188,2166.656982421875,4116.34716796875,128467.5234375,38132.31640625,206349.4375,31207.900390625,12534.0068359375,21045.33984375,31194.55078125,39469.38671875,55205.453125,21718.73828125,42404.01953125,52897.5546875,23946.513671875,9438.115234375,1.094489562092349e-05
Unicorn_4.ogg,4,1e-10,1e-10,314.48199462890625,935.6983642578125,1722.025634765625,18544.13671875,13810.0712890625,159520.75,36513.43359375,12641.814453125,61382.09375,49274.4609375,30270.14453125,27356.19140625,23588.0546875,10967.998046875,36576.59375,23968.3125,4863.7509765625,0.0002602067543193698
Unicorn_5.ogg,5,1e-10,1e-10,222.03912353515625,645.4409790039062,788.1228637695312,3732.119140625,4350.14892578125,12907.525390625,15290.912109375,8647.515625,15132.30859375,8731.193359375,8345.794921875,9017.8515625,5032.53076171875,2695.393798828125,3601.00537109375,3554.756103515625,1431.835693359375,7.1166708949022e-05
Unicorn_6.ogg,6,1e-10,1e-10,214.64808654785156,1102.784423828125,6307.4140625,50172.6640625,48077.20703125,94196.71875,87461.78125,23147.3125,83482.015625,59235.4921875,52919.1484375,59950.83984375,26411.24609375,19891.80859375,41281.265625,18626.673828125,5147.54931640625,0.00017582713917363435
